date,match,WON,type,rating,promotion,event,participants
04.01.2008,Bam Bam vs. Fantasy vs. Fire vs. Mascarita Dorada vs. Mini Mr. Aguila vs. Pequeno Damian 666 vs. Pequeno Halloween vs. Pequeno Warrior vs. Shockercito vs. Tzuki,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Fantasy, Fire, Mascarita Dorada, Mini Mr. Aguila, Pequeno Damian 666, Pequeno Halloween, Pequeno Warrior, Shockercito, Tzuki"
27.01.2008,Averno & Mephisto vs. La Sombra  & Mistico,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Mephisto, La Sombra, Mistico"
27.01.2008,Rey Hechicero vs. Valiente,,Best Two Out Of Three Falls, ,Wrestling In Mexiko - Freelance Shows,NA,"Rey Hechicero, Valiente"
01.02.2008,Atlantis & Ultimo Guerrero vs. Averno & Mephisto,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Atlantis, Ultimo Guerrero, Averno, Mephisto"
21.03.2008,"Bam Bam, Mascarita Dorada & Tzuki vs. Fire, Pequeno Damian 666 & Pierrothito",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Mascarita Dorada, Tzuki, Fire, Pequeno Damian 666, Pierrothito"
30.04.2008,"Averno, Mephisto & Perro Aguayo Jr. vs. Marco Corleone, Mistico & Shocker",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Mephisto, Perro Aguayo Jr., Marco Corleone, Mistico, Shocker"
09.05.2008,Diamante Negro vs. El Sagrado vs. Ephesto vs. Euforia vs. Flash   vs. La Mascara vs. La Sombra  vs. Loco Max vs. Mascara Purpura vs. Misterioso II vs. Mr. Aguila vs. Sangre Azteca vs. Stuka Jr. vs. Valiente vs. Virus vs. Volador Jr.,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Diamante Negro, El Sagrado, Ephesto, Euforia, Flash, La Mascara, La Sombra, Loco Max, Mascara Purpura, Misterioso II, Mr. Aguila, Sangre Azteca, Stuka Jr., Valiente, Virus, Volador Jr."
13.06.2008,Faby Apache vs. Mary Apache,,Singles, ,Asistencia Asesoria y Administracion,NA,"Faby Apache, Mary Apache"
24.07.2008,911  vs. Aeroman vs. AK47   vs. Arlequin  vs. Capitan Muerte vs. Cerebro Negro vs. Chico Che vs. Ciclon Negro  vs. Cocolores vs. Dr. Cerebro  vs. El Hijo del Cien Caras vs. El Hijo del Pierroth vs. El Hijo del Solitario vs. Fantasma de la Opera vs. Fenix   vs. Fierro vs. Freelance vs. Fuerza Guerrera vs. Gemelo Fantastico I vs. Gemelo Fantastico II vs. Goleador vs. Karloff Lagarde Jr. vs. Multifacetico  vs. Scorpio Jr. vs. Star Boy vs. Tinieblas Jr. vs. Trauma II vs. Ultraman Jr.  vs. Xibalba vs. Zumbido,,Rey Del Ring, ,International Wrestling Revolution Group,NA,"911, Aeroman, AK47, Arlequin, Capitan Muerte, Cerebro Negro, Chico Che, Cocolores, Dr. Cerebro, El Hijo del Cien Caras, El Hijo del Pierroth, El Hijo del Solitario, Fantasma de la Opera, Fierro, Freelance, Fuerza Guerrera, Gemelo Fantastico I, Gemelo Fantastico II, Goleador, Karloff Lagarde Jr., Multifacetico, Scorpio Jr., Star Boy, Tinieblas Jr., Trauma II, Ultraman Jr., Xibalba, Zumbido"
27.07.2008,Bam Bam vs. Pequeno Damian 666,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Pequeno Damian 666"
